"","X1","X2","X3","X4","X5"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:1:./temp/~ammem_I8sX::","Acquisition of Certain Lands in California.  Senate Report No. 533. From U.S. Senate Reports.  56th Congress.  1st Session.  1899-1900.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1900 03 06","
SUMMARY Report from the Committee on Public Lands, recommending passage of a resolution (S.R. 90) providing for the acquisition of lands in California containing Sequoia groves, with amendment; and quoting a House report in support of a parallel House resolution (H.J.R. 170) as factual background.","
NOTESPart of the legislative record for the Resolution authorizing the Secretary of the Interior to purchase two Sequoia gigantea groves in Calaveras County, California, for preservation purposes (31 Stat. 711). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:1:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:2:./temp/~ammem_I8sX::","American Antiquities Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-Ninth Congress, First Session, also Special Session of the Senate.  Volume XL.  Pp. 2972, 7331, 7434, 7888, 8037-38, 8042, 8240.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1906","
SUMMARY Procedure and debate surrounding the passage of S. 4698, which became ""An Act For the preservation of American antiquities"" (34 Stat. 225), known as the American Antiquities Act, in the First Session of the 59th Congress.   Brief debate in the House concerned how much land the Act would take ""off the market in the Western states,"" including fears expressed by one Congressman (Stephens of Texas) that it could be ""abused"" as had been the Forest Reserve Act, by which means ""they have locked up a very large area in this country;"" there was no debate in the Senate.","
NOTESWidely-scattered pages selected from a much longer document.  These pages reflect the bill's introduction by Senator Patterson, and its referral to the Committee on Public Lands, its report out of committee without amendment, its passage by the Senate without debate, its introduction in the House, referral to the Committee on the Public Lands, its passage by the House after brief debate, its signing by the Speaker of the House and the Vice-President, and its signing by President Roosevelt. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:2:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:3:./temp/~ammem_I8sX::","Appropriations Act Forbidding Further National Forests: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-Ninth Congress, Second Session.  Volume XLI.  Pp. 1559, 1589, 1897-20, 2004, 2834, 2953-60, 3182-3207, 3281-3300, 3512, 3514-47, 3604-21, 3627-43, 3646-47, 3717-26, 3865-66, 3869-88, 3975, 3997, 4325-26, 4481-94, 4530-31, 4545, 4570, 4630-31.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1907","
SUMMARY Procedure and debate surrounding the passage of H.R. 24815, which eventually became ""An Act Making appropriations for the Department of Agriculture for the fiscal year ending June thirtieth, nineteen hundred and eight.""  Sub-section, ""Forest Service""  (34 Stat. 1269), in the Second Session of the 59th Congress.  The entire Agriculture Appropriations bill was discussed section by section by both the House and the Senate.  Several portions of the bill were controversial and the debate was lengthy.  In the debate on the Forest section issues of concern were whether or not permanent appropriations were a good idea; what the salary ranges for professional employees and political appointees in the department ought to be; the proper course of management for the national forests and the powers of the Secretary of Agriculture; the role of forests in protecting watersheds and in irrigation; the respective rights of the Federal government, the states, and individual property owners in the western lands; and whether homesteading in forest reserves was permissible.  The main point of the bill for forest conservation was that it renamed the forest reserves as national forests and that no more national forests could be created or enlarged in the West except by Act of Congress.  ","
NOTESWidely scattered pages selected from the complete record.  These pages report the report back from the House Committee on Agriculture by Representative Wadsworth (H.R. Report 6597), debate in the House, amendment and passage in the House, referral to the Senate Committee on Agriculture and Forestry, report back to the Senate with amendments (S. Report 6829), debate in the Senate, amendment and passage in the Senate, appointment of conference committee, conference report made, debate of conference report in the House, second conference appointed, agreement to conference report, signing by the Speaker of the House and the Vice President.  The signing by President Roosevelt is omitted in the Congressional Record. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:3:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:4:./temp/~ammem_I8sX::","California Big Tree Acquisition Resolution: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-Sixth Congress, First Session.  Volume XXXIII.  Pp. 1740, 2301, 2520, 2569-70, 2638, 2664-65.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1900","
SUMMARY Procedure and debate surrounding the passage of H.J.R. 170, which became the ""Joint Resolution Providing for the acquisition of certain lands in the State of California"" (31 Stat. 711), in the First Session of the 56th Congress.  The resolution was adopted essentially without opposition in both the House and the Senate; the Senate discussed the leadership role played by the California Club--""a San Francisco association of prominent and patriotic Pacific coast ladies,"" in Senator Perkins's words--and whether the Federal Government should attempt to acquire the land by condemnation.","
NOTESWidely-scattered pages selected from a much longer document.  These pages reflect the joint resolution's introduction by Congressman De Vries, its referral to the Committee on Public Lands, its report from the committee with amendment and referral to the Committee of the Whole House on the State of the Union, its passage by the House, its introduction in the Senate, where it was briefly debated and passed as a substitute for a similar Senate resolution, its signing by the Speaker of the House and the President pro tempore of the Senate, and its approval and signing by President McKinley. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:4:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:5:./temp/~ammem_I8sX::","California Forest Reservations and Parks Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-First Congress, First Session.  Also Special Session of the Senate.  Volume XXI.  Pp. 2372, 10740, 10751-52, 10770-71, 10782-83, 10794.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1889","
SUMMARY Procedure and debate surrounding the passage of H.R. 12187, which eventually became ""An act to set apart certain tracts of land in the State of California as forest reservations"" (26 Stat. 650), in the First Session of the 51st Congress.  This was the act that established Yosemite National Park.  There was no debate in either the House or Senate. ","
NOTESWidely-scattered pages selected from the complete record.  These pages report the introduction of the bill in the House by the Committee on the Public Lands as a substitute for H.R. 8350, its passage in the House, referral to the Senate Committee on Public Lands, report to and passage in the Senate, signing by the Speaker of the House and by the Vice President, and signing by President Harrison. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:5:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:6:./temp/~ammem_I8sX::","California Public Park Lands Act: Debates and Proceedings. Excerpted from the Congressional Record: Containing the Proceedings and Debates of the Fifty-First Congress, First Session.  Also Special Session of the Senate.  Volume XXI.  Pp. 7834, 9072-73, 9137, 9829, 10170, 10189, 10641.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1889","
SUMMARY Procedure and debate surrounding the passage of H.R. 11570, which eventually became ""An act to set apart a certain tract of land in the State of California as a public park"" (26 Stat. 478), in the First Session of the 51st Congress.  There was no debate as such, merely one or two questions.","
NOTESWidely-scattered pages selected from the complete record.  These pages report the introduction of the bill in the House by Representative Vandever, its referral to the House Committee on the Public Lands, ammendment and passage in the House, referral to the Senate Committee on Public Lands, report to and passage in the Senate, signing by the Speaker of the House and by the Vice President, and signing by President Harrison. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:6:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:7:./temp/~ammem_I8sX::","Certain Groves of Big Trees in California.  House Report No. 436. From U.S. House Reports.  56th Congress.  1st Session.  1899-1900.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1900 02 26","
SUMMARY Report from the Committee on the Public Lands, to accompany H.J.R. 170, recommending passage of this resolution providing for the acquisition of lands in California containing Sequoia groves, with amendment.","
NOTESPart of the legislative record for the Resolution authorizing the Secretary of the Interior to purchase two Sequoia gigantea groves in Calaveras County, California, for preservation purposes (31 Stat. 711). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:7:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:8:./temp/~ammem_I8sX::","Destruction of Forests of the United States.  Senate Miscellaneous Document No. 51. Memorial of Albert Borcherdt of Denver, Colo. in The Miscellaneous Documents of the Senate of the United States for the First Session of the Fifty-First Congress. ","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1890 01 21","
SUMMARY Letter from a citizen urging more active forest protection, and requesting Congress to furnish him with a tract of despoiled forest land so that he may use it for teaching in the academy of forestry which he hopes to found; referred to the Committee on Public Lands.","
NOTESPart of the legislative background for the Forest Reserve Act (26 Stat. 1095); indicates the rising level of public concern over the condition of Western forests. ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:8:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:9:./temp/~ammem_I8sX::","Dumping of Refuse Material in Lake Michigan at or near Chicago.  House Report No. 1613. From Reports of Committees of the House of Representatives for the Second Session of the Sixty-First Congress.  1909-10.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1910 06 16","
SUMMARY Conference Report from the committee of conference to accompany H.R. 18700.","
NOTESPart of the legislative record for ""An Act To prevent the dumping of refuse materials in Lake Michigan at or near Chicago"" (36 Stat. 593). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:9:./temp/~ammem_I8sX::"
"https://memory.loc.gov/cgi-bin/query/D?consrvbib:10:./temp/~ammem_I8sX::","Encouragement of the growth of timber on western prairies.  Senate Miscellaneous Document No. 120. Letter from the Commissioner of the General Land-Office, Addressed to Honorable P.W. Hitchcock in The Miscellaneous Documents of the Senate of the United States for the Second Session of the Forty-Second Congress.","
CREATED/PUBLISHED United States : District of Columbia : Washington Government Printing Office 1872 04 02","
SUMMARY Letter from the Commissioner of the General Land-Office in support of legislation to encourage timber cultivation on Western prairies, to accompany bill S. 680.","
NOTESPart of the legislative record for the Timber Culture Act (17 Stat. 605). ","https://memory.loc.gov/cgi-bin/query/D?consrvbib:10:./temp/~ammem_I8sX::"
