GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,FL5001
"G010","2000","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,"Alabama",4447100
"G020","2000","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,"Alaska",626932
"G040","2000","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,"Arizona",5130632
"G050","2000","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2673400
"G060","2000","4","9","California","06",,,,,,,,,,,,,,,,,,,,,,,"California",33871648
"G080","2000","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,"Colorado",4301261
"G090","2000","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3405565
"G100","2000","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,"Delaware",783600
"G110","2000","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",572059
"G120","2000","3","5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,"Florida",15982378
"G130","2000","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,"Georgia",8186453
"G150","2000","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,"Hawaii",1211537
"G160","2000","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,"Idaho",1293953
"G170","2000","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,"Illinois",12419293
"G180","2000","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,"Indiana",6080485
"G190","2000","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,"Iowa",2926324
"G200","2000","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,"Kansas",2688418
"G210","2000","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,"Kentucky",4041769
"G220","2000","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,"Louisiana",4468976
"G230","2000","1","1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,"Maine",1274923
"G240","2000","3","5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,"Maryland",5296486
"G250","2000","1","1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",6349097
"G260","2000","2","3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,"Michigan",9938444
"G270","2000","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,"Minnesota",4919479
"G280","2000","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,"Mississippi",2844658
"G290","2000","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,"Missouri",5595211
"G300","2000","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,"Montana",902195
"G310","2000","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,"Nebraska",1711263
"G320","2000","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,"Nevada",1998257
"G330","2000","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1235786
"G340","2000","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,"New Jersey",8414350
"G350","2000","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,"New Mexico",1819046
"G360","2000","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,"New York",18976457
"G370","2000","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,"North Carolina",8049313
"G380","2000","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,"North Dakota",642200
"G390","2000","2","3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,,"Ohio",11353140
"G400","2000","3","7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",3450654
"G410","2000","4","9","Oregon","41",,,,,,,,,,,,,,,,,,,,,,,"Oregon",3421399
"G420","2000","1","2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",12281054
"G440","2000","1","1","Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",1048319
"G450","2000","3","5","South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,"South Carolina",4012012
"G460","2000","2","4","South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,"South Dakota",754844
"G470","2000","3","6","Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,"Tennessee",5689283
"G480","2000","3","7","Texas","48",,,,,,,,,,,,,,,,,,,,,,,"Texas",20851820
"G490","2000","4","8","Utah","49",,,,,,,,,,,,,,,,,,,,,,,"Utah",2233169
"G500","2000","1","1","Vermont","50",,,,,,,,,,,,,,,,,,,,,,,"Vermont",608827
"G510","2000","3","5","Virginia","51",,,,,,,,,,,,,,,,,,,,,,,"Virginia",7078515
"G530","2000","4","9","Washington","53",,,,,,,,,,,,,,,,,,,,,,,"Washington",5894121
"G540","2000","3","5","West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,"West Virginia",1808344
"G550","2000","2","3","Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,"Wisconsin",5363675
"G560","2000","4","8","Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,"Wyoming",493782
