GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,GEOID,NAME_E,AKSLE001,NAME_M,AKSLM001
"G010","2019",,,"Alabama","01",,,,,,,,,,,,,,,,,,"04000US01","Alabama",4903185,"Alabama",0
"G020","2019",,,"Alaska","02",,,,,,,,,,,,,,,,,,"04000US02","Alaska",731545,"Alaska",0
"G040","2019",,,"Arizona","04",,,,,,,,,,,,,,,,,,"04000US04","Arizona",7278717,"Arizona",0
"G050","2019",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"04000US05","Arkansas",3017804,"Arkansas",0
"G060","2019",,,"California","06",,,,,,,,,,,,,,,,,,"04000US06","California",39512223,"California",0
"G080","2019",,,"Colorado","08",,,,,,,,,,,,,,,,,,"04000US08","Colorado",5758736,"Colorado",0
"G090","2019",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"04000US09","Connecticut",3565287,"Connecticut",0
"G100","2019",,,"Delaware","10",,,,,,,,,,,,,,,,,,"04000US10","Delaware",973764,"Delaware",0
"G110","2019",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,"04000US11","District of Columbia",705749,"District of Columbia",0
"G120","2019",,,"Florida","12",,,,,,,,,,,,,,,,,,"04000US12","Florida",21477737,"Florida",0
"G130","2019",,,"Georgia","13",,,,,,,,,,,,,,,,,,"04000US13","Georgia",10617423,"Georgia",0
"G150","2019",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"04000US15","Hawaii",1415872,"Hawaii",0
"G160","2019",,,"Idaho","16",,,,,,,,,,,,,,,,,,"04000US16","Idaho",1787065,"Idaho",0
"G170","2019",,,"Illinois","17",,,,,,,,,,,,,,,,,,"04000US17","Illinois",12671821,"Illinois",0
"G180","2019",,,"Indiana","18",,,,,,,,,,,,,,,,,,"04000US18","Indiana",6732219,"Indiana",0
"G190","2019",,,"Iowa","19",,,,,,,,,,,,,,,,,,"04000US19","Iowa",3155070,"Iowa",0
"G200","2019",,,"Kansas","20",,,,,,,,,,,,,,,,,,"04000US20","Kansas",2913314,"Kansas",0
