,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE, FY 1939 , FY 1940 , FY 1941 , FY 1942 , FY 1943 , FY 1944 , FY 1945 , FY 1946 , FY 1947 , FY 1948 , FY 1949 , FY 1950 , FY 1951 , FY 1952 , FY 1953 , FY 1954 , FY 1955 , FY 1956 , FY 1957 , FY 1958 , FY 1959 , FY 1960 , FY 1961 , FY 1962 , FY 1963 , FY 1964 , FY 1965 , FY 1966 , FY 1967 , FY 1968 , FY 1969 , FY 1970 , FY 1971 , FY 1972 , FY 1973 , FY 1974 , FY 1975 , FY 1976 , FY 1977 , FY 1978 , FY 1979 , FY 1980 , FY 1981 , FY 1982 , FY 1983 , FY 1984 , FY 1985 , FY 1986 , FY 1987 , FY 1988 , FY 1989 , FY 1990 , FY 1991 , FY 1992 , FY 1993 , FY 1994 ,  FY 1995 , FY 1996 , FY 1997 , FY 1998 , FY 1999 , FY 2000 , FY 2001 , FY 2002 , FY 2003 , FY 2004 , FY 2005 , FY 2006 , FY 2007 , FY 2008 , FY 2009 , FY 2010 , FY 2011 , FY 2012 , FY 2013 , FY 2014 , FY 2015 , FY 2016 , FY 2017 , FY 2018 , FY 2019 , FY 2020 ,TOTAL TO DATE,,,,,,,,,,,,
ALABAMA,"$13,413 ","$21,099 ","$37,313 ","$40,725 ","$17,535 ","$14,087 ","$12,931 ","$12,022 ","$34,138 ","$128,575 ","$182,021 ","$179,616 ","$158,585 ","$318,977 ","$178,622 ","$201,049 ","$170,141 ","$248,630 ","$287,788 ","$300,023 ","$294,313 ","$278,170 ","$261,378 ","$253,431 ","$256,156 ","$316,230 ","$314,665 ","$357,412 ","$453,029 ","$513,705 ","$591,816 ","$614,979 ","$590,288 ","$674,543 ","$763,488 ","$854,683 ","$986,026 ","$1,071,274 ","$1,557,044 ","$1,170,401 ","$1,541,998 ","$1,674,506 ","$1,584,457 ","$2,082,033 ","$1,943,852 ","$1,587,402 ","$1,407,515 ","$1,893,480 ","$1,933,934 ","$1,947,404 ","$2,162,317 ","$2,097,739 ","$2,837,877 ","$2,633,853 ","$2,797,840 ","$3,247,648 ","$3,767,100 ","$3,661,845 ","$2,959,098 ","$2,751,489 ","$2,955,658 ","$3,439,539 ","$3,601,969 ","$3,338,621 ","$3,775,702 ","$3,663,087 ","$4,230,076 ","$4,081,371 ","$4,704,878 ","$5,443,049 ","$6,005,164 ","$8,354,569 ","$9,437,418 ","$9,010,087 ","$12,902,508 ","$18,395,311 ","$19,393,471 ","$17,265,640 ","$19,083,685 ","$19,360,421 ","$16,219,453 ","$14,178,844 ","$270,084,228 ",,,,,,,,,,,,
ALASKA,$0 ,$0 ,$0 ,"$20,600 ","$12,000 ","$9,000 ","$9,000 ","$12,000 ","$20,000 ","$25,000 ","$25,000 ","$25,000 ","$75,000 ","$75,000 ","$75,000 ","$75,000 ","$75,000 ","$90,000 ","$90,000 ","$90,000 ","$90,000 ","$790,000 ","$735,100 ","$698,500 ","$695,100 ","$781,394 ","$835,250 ","$960,300 ","$1,175,150 ","$1,316,000 ","$1,514,500 ","$1,582,250 ","$1,538,500 ","$1,578,346 ","$1,900,990 ","$2,202,610 ","$2,491,500 ","$2,692,800 ","$3,800,000 ","$2,793,000 ","$3,662,960 ","$3,998,480 ","$3,601,700 ","$5,168,800 ","$4,600,200 ","$3,804,500 ","$3,387,400 ","$4,768,347 ","$4,623,853 ","$4,815,000 ","$5,126,000 ","$5,032,000 ","$6,562,000 ","$6,414,000 ","$6,557,000 ","$7,608,519 ","$8,965,947 ","$8,426,926 ","$7,135,889 ","$6,634,495 ","$7,190,857 ","$8,490,358 ","$8,751,120 ","$7,983,824 ","$9,107,484 ","$8,648,602 ","$9,923,370 ","$9,994,513 ","$11,282,965 ","$13,022,846 ","$14,243,021 ","$20,172,237 ","$16,056,842 ","$15,403,917 ","$21,887,730 ","$32,511,089 ","$34,625,771 ","$29,532,768 ","$32,969,429 ","$33,455,771 ","$28,219,617 ","$24,970,580 ","$540,312,617 ",,,,,,,,,,,,
AMERICAN SAMOA,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$108,183 ","$153,901 ","$179,919 ","$183,166 ","$198,333 ","$195,333 ","$262,333 ","$251,000 ","$261,500 ","$303,469 ","$351,665 ","$337,296 ","$276,318 ","$258,014 ","$275,589 ","$321,947 ","$340,307 ","$313,426 ","$355,336 ","$338,410 ","$391,236 ","$387,764 ","$443,828 ","$515,686 ","$560,243 ","$787,446 ","$640,114 ","$618,513 ","$870,669 ","$1,267,963 ","$1,347,460 ","$1,158,529 ","$1,299,808 ","$1,328,563 ","$1,122,415 ","$1,002,785 ","$19,008,467 ",,,,,,,,,,,,
ARIZONA,"$18,612 ","$29,277 ","$47,980 ","$53,149 ","$23,345 ","$19,016 ","$17,052 ","$18,549 ","$48,050 ","$174,148 ","$223,866 ","$215,869 ","$188,020 ","$361,973 ","$213,059 ","$260,166 ","$213,812 ","$316,403 ","$361,638 ","$375,077 ","$364,662 ","$334,814 ","$315,613 ","$300,728 ","$304,942 ","$357,469 ","$375,742 ","$428,192 ","$524,929 ","$591,842 ","$686,511 ","$724,358 ","$708,765 ","$749,553 ","$901,001 ","$1,023,654 ","$1,141,170 ","$1,272,334 ","$1,828,705 ","$1,365,635 ","$1,793,538 ","$1,961,304 ","$1,807,400 ","$2,654,496 ","$2,395,725 ","$1,955,539 ","$1,746,659 ","$2,439,298 ","$2,431,787 ","$2,503,407 ","$2,663,185 ","$2,607,620 ","$3,568,477 ","$3,397,396 ","$3,518,300 ","$4,096,011 ","$4,810,876 ","$4,663,466 ","$3,844,910 ","$3,612,446 ","$3,878,105 ","$4,587,789 ","$4,932,992 ","$4,537,407 ","$5,197,532 ","$4,869,205 ","$5,683,004 ","$5,628,375 ","$6,558,655 ","$7,668,304 ","$8,353,890 ","$11,814,816 ","$9,341,738 ","$9,371,865 ","$13,238,992 ","$19,178,682 ","$20,405,240 ","$17,707,564 ","$21,858,466 ","$22,080,003 ","$18,738,872 ","$16,781,416 ","$318,364,431 ",,,,,,,,,,,,
ARKANSAS,"$10,207 ","$16,057 ","$27,925 ","$31,388 ","$13,885 ","$11,576 ","$10,313 ","$11,196 ","$28,722 ","$131,821 ","$180,247 ","$163,924 ","$144,561 ","$308,874 ","$165,665 ","$198,385 ","$171,134 ","$237,744 ","$277,295 ","$285,495 ","$272,939 ","$244,808 ","$227,664 ","$217,720 ","$221,291 ","$284,833 ","$285,182 ","$326,475 ","$407,647 ","$443,004 ","$510,276 ","$539,568 ","$511,925 ","$559,771 ","$673,554 ","$806,971 ","$936,743 ","$1,041,476 ","$1,493,687 ","$1,124,082 ","$1,460,430 ","$1,545,887 ","$1,454,124 ","$2,082,379 ","$1,867,565 ","$1,545,608 ","$1,372,541 ","$1,801,977 ","$1,796,568 ","$1,858,134 ","$2,063,400 ","$1,951,815 ","$2,700,036 ","$2,597,930 ","$2,491,639 ","$2,942,140 ","$3,459,868 ","$3,310,446 ","$2,805,861 ","$2,623,854 ","$2,820,365 ","$3,378,040 ","$3,913,825 ","$3,508,655 ","$4,010,228 ","$3,918,697 ","$4,445,118 ","$4,313,222 ","$4,939,856 ","$5,529,494 ","$6,311,468 ","$8,801,567 ","$7,104,687 ","$6,776,366 ","$9,775,406 ","$14,258,218 ","$13,962,632 ","$11,711,463 ","$13,272,093 ","$13,221,723 ","$10,826,338 ","$9,550,317 ","$223,638,011 ",,,,,,,,,,,,
CALIFORNIA,"$37,269 ","$58,625 ","$98,821 ","$111,801 ","$50,163 ","$41,555 ","$34,493 ","$39,413 ","$103,274 ","$374,283 ","$496,628 ","$478,584 ","$399,138 ","$785,792 ","$456,639 ","$542,508 ","$461,048 ","$685,222 ","$777,566 ","$809,942 ","$790,110 ","$715,651 ","$651,215 ","$625,103 ","$631,036 ","$774,823 ","$779,786 ","$899,376 ","$1,117,440 ","$1,262,787 ","$1,476,843 ","$1,549,714 ","$1,495,148 ","$1,598,883 ","$1,870,832 ","$2,131,495 ","$2,308,010 ","$2,511,184 ","$3,537,098 ","$2,566,275 ","$3,311,969 ","$3,556,260 ","$3,201,657 ","$4,567,309 ","$4,147,447 ","$3,395,108 ","$3,016,752 ","$4,139,627 ","$4,102,870 ","$4,200,586 ","$4,447,688 ","$4,375,320 ","$5,679,076 ","$5,334,984 ","$5,519,504 ","$6,337,297 ","$7,366,160 ","$7,048,485 ","$5,782,621 ","$5,365,616 ","$5,696,882 ","$6,610,254 ","$6,861,214 ","$6,381,792 ","$7,238,447 ","$6,910,043 ","$8,006,336 ","$7,857,386 ","$8,964,724 ","$10,360,873 ","$11,347,347 ","$15,898,936 ","$12,757,572 ","$12,282,822 ","$17,298,413 ","$25,301,091 ","$26,808,714 ","$22,913,160 ","$25,602,136 ","$26,037,993 ","$21,988,681 ","$19,541,968 ","$443,698,693 ",,,,,,,,,,,,
COLORADO,"$22,439 ","$35,297 ","$60,516 ","$70,421 ","$30,815 ","$25,183 ","$23,654 ","$27,382 ","$70,204 ","$261,843 ","$369,471 ","$324,399 ","$275,418 ","$529,340 ","$311,023 ","$381,383 ","$312,276 ","$466,141 ","$485,843 ","$455,707 ","$436,366 ","$351,939 ","$336,664 ","$411,851 ","$349,147 ","$375,322 ","$428,470 ","$495,250 ","$605,200 ","$675,934 ","$786,186 ","$768,104 ","$779,768 ","$820,454 ","$1,001,120 ","$1,121,016 ","$1,267,454 ","$1,444,173 ","$2,006,254 ","$1,519,948 ","$1,954,944 ","$2,159,879 ","$1,957,394 ","$2,848,275 ","$2,628,293 ","$2,195,924 ","$1,985,328 ","$2,625,612 ","$2,617,742 ","$2,676,568 ","$2,910,601 ","$2,891,078 ","$3,947,068 ","$3,752,213 ","$3,891,769 ","$4,390,811 ","$5,190,974 ","$4,916,985 ","$4,049,890 ","$4,027,413 ","$4,355,206 ","$5,165,816 ","$5,207,659 ","$4,825,397 ","$5,531,602 ","$4,877,855 ","$5,984,357 ","$6,177,940 ","$6,800,074 ","$7,830,531 ","$8,551,203 ","$11,874,095 ","$9,518,861 ","$9,294,002 ","$13,164,031 ","$19,083,986 ","$20,211,205 ","$17,257,494 ","$19,418,582 ","$19,872,123 ","$16,885,597 ","$15,125,584 ","$321,151,336 ",,,,,,,,,,,,
CONNECTICUT,"$2,499 ","$3,931 ","$5,853 ","$7,146 ","$3,044 ","$2,672 ","$2,539 ","$5,000 ","$6,537 ","$41,319 ","$53,903 ","$49,567 ","$43,368 ","$85,955 ","$50,126 ","$58,923 ","$48,984 ","$71,400 ","$81,180 ","$84,870 ","$82,000 ","$79,000 ","$73,510 ","$69,850 ","$69,510 ","$78,139 ","$83,525 ","$96,030 ","$117,515 ","$131,600 ","$151,450 ","$158,225 ","$153,850 ","$234,252 ","$270,144 ","$308,446 ","$345,463 ","$391,137 ","$595,768 ","$460,134 ","$595,955 ","$631,809 ","$651,970 ","$828,344 ","$805,235 ","$663,849 ","$599,027 ","$754,368 ","$812,388 ","$787,562 ","$883,475 ","$875,875 ","$1,247,659 ","$1,146,756 ","$1,238,943 ","$1,438,073 ","$1,613,899 ","$1,608,855 ","$1,235,982 ","$1,164,243 ","$1,206,698 ","$1,377,963 ","$1,468,648 ","$1,385,216 ","$1,546,663 ","$1,486,607 ","$1,742,114 ","$1,676,856 ","$1,960,134 ","$2,304,693 ","$2,475,883 ","$3,389,003 ","$2,893,519 ","$2,802,447 ","$3,882,606 ","$5,458,083 ","$5,777,433 ","$5,038,584 ","$5,702,335 ","$5,901,190 ","$4,998,992 ","$4,538,381 ","$93,256,679 ",,,,,,,,,,,,
DELAWARE,"$1,365 ","$2,148 ","$3,068 ","$3,420 ","$1,418 ","$1,208 ","$1,054 ","$5,000 ","$5,000 ","$41,319 ","$53,903 ","$49,567 ","$43,368 ","$85,955 ","$50,126 ","$58,923 ","$48,984 ","$71,400 ","$81,180 ","$84,870 ","$82,000 ","$79,000 ","$73,510 ","$69,850 ","$69,510 ","$78,139 ","$83,525 ","$96,030 ","$117,515 ","$131,600 ","$151,450 ","$158,225 ","$153,850 ","$190,326 ","$224,132 ","$257,755 ","$290,100 ","$322,650 ","$474,500 ","$358,500 ","$466,880 ","$501,440 ","$487,970 ","$669,700 ","$629,400 ","$519,500 ","$466,450 ","$613,007 ","$637,343 ","$634,500 ","$698,000 ","$689,500 ","$950,500 ","$892,500 ","$945,500 ","$1,097,348 ","$1,253,007 ","$1,223,381 ","$973,154 ","$912,282 ","$961,369 ","$1,111,848 ","$1,203,184 ","$1,124,412 ","$1,262,950 ","$1,210,263 ","$1,408,838 ","$1,372,361 ","$1,588,938 ","$1,855,483 ","$2,004,425 ","$2,795,702 ","$2,316,511 ","$2,251,081 ","$3,142,757 ","$4,494,878 ","$4,767,143 ","$4,128,477 ","$4,652,531 ","$4,785,824 ","$4,048,853 ","$3,647,470 ","$75,552,103 ",,,,,,,,,,,,
FLORIDA,"$12,239 ","$19,253 ","$31,225 ","$34,099 ","$15,291 ","$12,375 ","$11,062 ","$11,435 ","$31,286 ","$111,341 ","$148,949 ","$140,906 ","$121,215 ","$232,085 ","$133,265 ","$157,901 ","$131,738 ","$196,670 ","$227,371 ","$237,317 ","$234,066 ","$222,613 ","$211,330 ","$201,733 ","$202,206 ","$248,215 ","$257,425 ","$303,964 ","$377,383 ","$423,908 ","$489,760 ","$517,233 ","$504,230 ","$623,551 ","$735,516 ","$862,435 ","$957,248 ","$1,069,390 ","$1,580,898 ","$1,170,770 ","$1,525,232 ","$1,644,285 ","$1,593,318 ","$2,163,103 ","$2,025,992 ","$1,675,794 ","$1,502,760 ","$1,996,957 ","$2,082,922 ","$2,065,303 ","$2,223,558 ","$2,203,736 ","$3,009,221 ","$2,787,453 ","$2,890,363 ","$3,314,457 ","$3,766,482 ","$3,681,160 ","$2,911,368 ","$2,656,509 ","$2,902,617 ","$3,232,040 ","$3,646,351 ","$3,444,451 ","$3,746,895 ","$3,668,356 ","$4,237,774 ","$4,045,582 ","$4,633,713 ","$5,461,935 ","$5,967,322 ","$8,606,619 ","$6,884,795 ","$6,686,459 ","$9,399,856 ","$13,438,658 ","$14,179,497 ","$12,264,952 ","$13,978,911 ","$14,351,398 ","$12,111,926 ","$10,977,121 ","$228,798,098 ",,,,,,,,,,,,
