Alabama,"311,454"
Alaska,"31,474"
Arizona,"105,640"
Arkansas,"223,641"
California,"610,882"
Colorado,"241,301"
Connecticut,"53,721"
Delaware,"25,692"
Florida,"160,327"
Georgia,"230,804"
Hawaii,"5,290"
Idaho,"167,354"
Illinois,"496,696"
Indiana,"620,649"
Iowa,"385,465"
Kansas,"230,225"
Kentucky,"265,251"
Louisiana,"280,648"
Maine,"180,198"
Maryland,"155,917"
Massachusetts,"122,371"
Michigan,"909,951"
Minnesota,"429,875"
Mississippi,"197,821"
Missouri,"373,198"
Montana,"207,406"
Nebraska,"186,200"
Nevada,"39,953"
New Hampshire,"93,300"
New Jersey,"169,692"
New Mexico,"107,025"
New York,"633,892"
North Carolina,"384,182"
North Dakota,"73,768"
Ohio,"671,409"
Oklahoma,"210,494"
Oregon,"293,622"
Pennsylvania,"990,226"
Rhode Island,"12,198"
South Carolina,"164,068"
South Dakota,"178,536"
Tennessee,"424,437"
Texas,"474,451"
Utah,"184,344"
Vermont,"103,602"
Virginia,"405,638"
Washington,"280,731"
West Virginia,"221,071"
Wisconsin,"535,698"
Wyoming,"101,474"
