"abb","fips","hunters_per_1000_2020"
"AK","02",120.3
"AL","01",102.4
"AR","05",96.5
"AZ","04",41.9
"CA","06",6.6
"CO","08",50.6
"CT","09",9.6
"DE","10",16.5
"FL","12",8.7
"GA","13",58.3
"HI","15",7.3
"IA","19",68.6
"ID","16",162.4
"IL","17",23.2
"IN","18",37.6
"KS","20",84.6
"KY","21",74.3
"LA","22",83.6
"MA","25",8.2
"MD","24",19.3
"ME","23",115.5
"MI","26",66.6
"MN","27",96.8
"MO","29",78.9
"MS","28",96.4
"MT","30",208.7
"NC","37",57.2
"ND","38",166
"NE","31",93.8
"NH","33",41.4
"NJ","34",7.8
"NM","35",52.5
"NV","32",22.3
"NY","36",27.8
"OH","39",30.9
"OK","40",139.6
"OR","41",76.5
"PA","42",72.5
"RI","44",6.8
"SC","45",35.1
"SD","46",238.6
"TN","47",99.7
"TX","48",37.9
"UT","49",77.1
"VA","51",30.2
"VT","50",104
"WA","53",22.7
"WI","55",116.6
"WV","54",116.6
"WY","56",224.3
