"fips","state","abb","year","key","value"
"01","Alabama","AL","1960","certified_paid_hunting_license_holders",311454
"02","Alaska","AK","1960","certified_paid_hunting_license_holders",31474
"04","Arizona","AZ","1960","certified_paid_hunting_license_holders",105640
"05","Arkansas","AR","1960","certified_paid_hunting_license_holders",223641
"06","California","CA","1960","certified_paid_hunting_license_holders",610882
"08","Colorado","CO","1960","certified_paid_hunting_license_holders",241301
"09","Connecticut","CT","1960","certified_paid_hunting_license_holders",53721
"10","Delaware","DE","1960","certified_paid_hunting_license_holders",25692
"12","Florida","FL","1960","certified_paid_hunting_license_holders",160327
"13","Georgia","GA","1960","certified_paid_hunting_license_holders",230804
"15","Hawaii","HI","1960","certified_paid_hunting_license_holders",5290
"16","Idaho","ID","1960","certified_paid_hunting_license_holders",167354
"17","Illinois","IL","1960","certified_paid_hunting_license_holders",496696
"18","Indiana","IN","1960","certified_paid_hunting_license_holders",620649
"19","Iowa","IA","1960","certified_paid_hunting_license_holders",385465
"20","Kansas","KS","1960","certified_paid_hunting_license_holders",230225
"21","Kentucky","KY","1960","certified_paid_hunting_license_holders",265251
"22","Louisiana","LA","1960","certified_paid_hunting_license_holders",280648
"23","Maine","ME","1960","certified_paid_hunting_license_holders",180198
"24","Maryland","MD","1960","certified_paid_hunting_license_holders",155917
"25","Massachusetts","MA","1960","certified_paid_hunting_license_holders",122371
"26","Michigan","MI","1960","certified_paid_hunting_license_holders",909951
"27","Minnesota","MN","1960","certified_paid_hunting_license_holders",429875
"28","Mississippi","MS","1960","certified_paid_hunting_license_holders",197821
"29","Missouri","MO","1960","certified_paid_hunting_license_holders",373198
"30","Montana","MT","1960","certified_paid_hunting_license_holders",207406
"31","Nebraska","NE","1960","certified_paid_hunting_license_holders",186200
"32","Nevada","NV","1960","certified_paid_hunting_license_holders",39953
"33","New Hampshire","NH","1960","certified_paid_hunting_license_holders",93300
"34","New Jersey","NJ","1960","certified_paid_hunting_license_holders",169692
"35","New Mexico","NM","1960","certified_paid_hunting_license_holders",107025
"36","New York","NY","1960","certified_paid_hunting_license_holders",633892
"37","North Carolina","NC","1960","certified_paid_hunting_license_holders",384182
"38","North Dakota","ND","1960","certified_paid_hunting_license_holders",73768
"39","Ohio","OH","1960","certified_paid_hunting_license_holders",671409
"40","Oklahoma","OK","1960","certified_paid_hunting_license_holders",210494
"41","Oregon","OR","1960","certified_paid_hunting_license_holders",293622
"42","Pennsylvania","PA","1960","certified_paid_hunting_license_holders",990226
"44","Rhode Island","RI","1960","certified_paid_hunting_license_holders",12198
"45","South Carolina","SC","1960","certified_paid_hunting_license_holders",164068
"46","South Dakota","SD","1960","certified_paid_hunting_license_holders",178536
"47","Tennessee","TN","1960","certified_paid_hunting_license_holders",424437
"48","Texas","TX","1960","certified_paid_hunting_license_holders",474451
