"rank","state","total_wildlife_rest_funds_infl_adj"
1,"Texas",995161902.62
2,"Alaska",867894368.5
3,"Pennsylvania",814466918.54
4,"California",788996873.78
5,"Michigan",764462650.78
6,"Wisconsin",633796655.08
7,"New York",625257185.04
8,"Minnesota",616156384.5
9,"Montana",578257661.86
10,"Missouri",553486681.66
11,"Tennessee",538754656.26
12,"Colorado",535292998.92
13,"Arizona",506644624.47
14,"Oregon",501851744.62
15,"Ohio",494684009.66
16,"North Carolina",489329517.87
17,"Georgia",475315232.19
18,"Illinois",464951508.5
19,"New Mexico",438543234.24
20,"Oklahoma",435485139.5
21,"Washington",430770375.34
22,"Alabama",424613974.24
23,"Virginia",407897251.59
24,"Idaho",402922813.38
25,"Indiana",397827270.72
26,"Kansas",391859931.71
27,"Louisiana",391037885.99
28,"Wyoming",389788740.05
29,"Utah",387289570.03
30,"Nevada",378209125.31
31,"Florida",371713966.84
32,"Arkansas",366951225.95
33,"South Dakota",362636266.72
34,"Iowa",361245057.3
35,"Kentucky",356283847.44
36,"Nebraska",353895672.22
37,"Mississippi",322874315.23
38,"North Dakota",298801198.3
39,"South Carolina",266745814.06
40,"West Virginia",246088439.24
41,"Maine",233964122.59
42,"Maryland",198589452.2
43,"New Jersey",196623241.59
44,"Massachusetts",187465050.53
45,"Connecticut",147209853.92
46,"Vermont",124568154.59
47,"New Hampshire",122204819.26
48,"Delaware",121355476.94
49,"Rhode Island",121218903.1
50,"Hawaii",118143410
